Epoch: 1 loss:  0.2986124013750641  accuracy:  0.8666666666666667
Epoch: 2 loss:  0.2447509393427107  accuracy:  0.9096296296296297
Epoch: 3 loss:  0.18694081558121575  accuracy:  0.9288888888888889
Epoch: 4 loss:  0.2555025326764142  accuracy:  0.9125925925925926
Epoch: 5 loss:  0.2053821994971346  accuracy:  0.9244444444444444
Epoch: 6 loss:  0.15938189263697022  accuracy:  0.9392592592592592
Epoch: 7 loss:  0.13018034329017003  accuracy:  0.9525925925925925
Epoch: 8 loss:  0.1913377285003662  accuracy:  0.9303703703703704
Epoch: 9 loss:  0.17442467401425044  accuracy:  0.9348148148148148
Epoch: 10 loss:  0.19218339765513384  accuracy:  0.922962962962963

Ended in:  67.9498200337092 minutes

**** Accuracy of MobileNetV2__v1_lr=0.001 93.88%
Epoch:1loss: 0.23286755234003068 accuracy: 0.896875
Epoch:2loss: 0.24294855669140816 accuracy: 0.903125
Epoch:3loss: 0.21950116604566575 accuracy: 0.9296875
Epoch:4loss: 0.18976498246192933 accuracy: 0.9234375
Epoch:5loss: 0.17866327837109566 accuracy: 0.9265625
Epoch:6loss: 0.15641313046216965 accuracy: 0.9328125
Epoch:7loss: 0.15485423654317856 accuracy: 0.934375
Epoch:8loss: 0.1563008151948452 accuracy: 0.9359375
Epoch:9loss: 0.1522999346256256 accuracy: 0.93125
Epoch:10loss: 0.19029057621955872 accuracy: 0.921875
Ended in: 61.3863950808843minutes
