Epoch: 1 loss:  0.2986124013750641  accuracy:  0.8666666666666667
Epoch: 2 loss:  0.2447509393427107  accuracy:  0.9096296296296297
Epoch: 3 loss:  0.18694081558121575  accuracy:  0.9288888888888889
Epoch: 4 loss:  0.2555025326764142  accuracy:  0.9125925925925926
Epoch: 5 loss:  0.2053821994971346  accuracy:  0.9244444444444444
Epoch: 6 loss:  0.15938189263697022  accuracy:  0.9392592592592592
Epoch: 7 loss:  0.13018034329017003  accuracy:  0.9525925925925925
Epoch: 8 loss:  0.1913377285003662  accuracy:  0.9303703703703704
Epoch: 9 loss:  0.17442467401425044  accuracy:  0.9348148148148148
Epoch: 10 loss:  0.19218339765513384  accuracy:  0.922962962962963

Ended in:  67.9498200337092 minutes

**** Accuracy of MobileNetV2__v1_lr=0.001 93.88%
Epoch:1loss: 0.1669318877160549 accuracy: 0.94375
Epoch:2loss: 0.22586602568626404 accuracy: 0.90625
Epoch:3loss: 0.16346172317862512 accuracy: 0.940625
Epoch:4loss: 0.4379332646727562 accuracy: 0.85
Epoch:5loss: 0.2158030852675438 accuracy: 0.9125
Epoch:6loss: 0.19642610438168048 accuracy: 0.9328125
Epoch:7loss: 0.2548967614769936 accuracy: 0.9078125
Epoch:8loss: 0.19132403731346131 accuracy: 0.9234375
Epoch:9loss: 0.23425564542412758 accuracy: 0.9328125
Epoch:10loss: 0.1528487905859947 accuracy: 0.9359375
Ended in: 61.24740827083588minutes
